#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
                                1M pop",Population
182,Nicaragua,18491,,225,,"4,225",,"14,041",,2728,33,,,6779100
183,South Sudan,18368,,138,,"18,115",,115,1,1581,12,410280,35313,11618511
184,Tajikistan,17786,,125,,"17,264",,397,,1786,13,,,9957464
185,Equatorial Guinea,17229,,183,,"16,907",,139,5,11512,122,365697,244342,1496662
186,Monaco,16852,,67,,"15,992",,793,4,423598,1684,78646,1976875,39783
187,Tonga,16819,,13,,"15,638",,"1,168",,156094,121,535009,4965327,107749
188,Samoa,16775,,31,,"1,605",,"15,139",,82946,153,187397,926612,202239
189,Marshall Islands,16098,,17,,"16,079",,2,,268045,283,,,60057
190,Dominica,15760,,74,,"15,673",,13,,217848,1023,229344,3170187,72344
191,Djibouti,15690,,189,,"15,427",,74,,15441,186,305941,301094,1016097
192,CAR,15368,,113,,"15,200",,55,2,3063,23,81294,16205,5016678
193,Macao,12984,,123,,"3,487",,"9,374",,19452,184,7850,11760,667490
194,Gambia,12626,,372,,"12,189",,65,,4935,145,155686,60851,2558482
195,Saint Martin,12324,,63,,"1,399",,"10,862",7,310194,1586,112382,2828643,39730
196,Vanuatu,12019,,14,,"11,976",,29,,37346,44,24976,77606,321832
197,Greenland,11971,,21,,"2,761",,"9,189",4,210117,369,164926,2894810,56973
198,Yemen,11945,,2159,,"9,124",,662,23,383,69,329592,10579,31154867
199,Caribbean Netherlands,11682,,38,,"10,476",,"1,168",,438398,1426,30126,1130559,26647
200,Sint Maarten,11051,,92,,"10,905",,54,N/A,251353,2093,62056,1411454,43966
201,Eritrea,10189,,103,,"10,086",,0,,2782,28,23693,6470,3662244
202,Niger,9931,,312,,"8,890",,729,1,381,12,254538,9759,26083660
203,St. Vincent Grenadines,9631,,124,,"9,493",,14,,86337,1112,114197,1023720,111551
204,Guinea-Bissau,9614,,177,,"8,929",,508,6,4659,86,145231,70385,2063367
205,Comoros,9109,,161,,"8,939",,9,,10038,177,,,907419
206,Antigua and Barbuda,9106,,146,,"8,954",,6,1,91509,1467,18901,189943,99509
207,Liberia,8090,,295,,"7,783",,12,2,1525,56,139824,26356,5305117
208,Sierra Leone,7762,,126,,N/A,N/A,N/A,,934,15,259958,31296,8306436
209,Chad,7701,,194,,"4,874",,"2,633",,442,11,191341,10988,17413580
210,British Virgin Islands,7305,,64,,N/A,N/A,N/A,,238757,2092,107339,3508269,30596
211,Cook Islands,7151,,2,,"7,149",,0,,406977,114,19690,1120596,17571
212,Turks and Caicos,6630,,39,,"6,576",,15,4,166830,981,614852,15471478,39741
213,Saint Kitts and Nevis,6607,,48,,"6,559",,0,,122645,891,126958,2356704,53871
214,Sao Tome and Principe,6589,,80,,"6,509",,0,,28940,351,29036,127530,227679
215,Palau,6160,,9,,"6,089",,62,,337849,494,70271,3854056,18233
216,St. Barth,5507,,6,,N/A,N/A,N/A,,553746,603,78646,7908095,9945
